X,Y,stnid,lat,long,maxtemp,mintemp,ppt,magnitude,timing,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,wizardppt,cesmppt,resep,resepx,resepxpptout,resepxprismjjavpdout,resepxmagnitudeout,resepxmintempfreezedaysout
-900249.6496,1675260.44,"52,184",37.6742,-106.3247,14.4313955,-2.48796573,251.3517377,3.982201788,0.155278067,32.73770492,206.3442623,265.03,5.47,-3.43,14.37,-4.35,23.16333333,13.54,"2,389",194.4250366,1018.630351,-0.013641916,-0.01357,FALSE,FALSE,FALSE,FALSE
-585486.9686,1737242.193,"52,446",38.4775,-102.7808,20.36732681,2.912633196,360.7174754,8.113599743,0.112442396,16.93442623,147.6557377,389.32,11.11,2.56,19.66,1.29,32.49,18.79,"1,269",347.6879,863.2412697,0.000418601,0.000233333,FALSE,FALSE,FALSE,FALSE
-764927.9423,1992618.851,"53,005",40.6147,-105.1314,17.32367779,1.976599236,387.2417377,4.774129945,0.216493856,20.06557377,159.9672131,427.06,9.4,1.43,17.38,-0.54,27.54,15.93,"1,524",377.2027,692.8832116,0.008459386,0.00943,FALSE,FALSE,FALSE,FALSE
-658238.3595,1943190.009,"53,038",40.26,-103.8156,17.85495195,1.514046534,303.8256393,5.894814405,0.14405722,24.45901639,150.0327869,348.62,9.97,1.63,18.32,1.11,30.31,17.28,"1,318",352.057716,783.4106339,0.018065355,0.0187,FALSE,FALSE,FALSE,FALSE
-1086783.012,1866352.914,"53,146",39.1653,-108.7331,19.18844402,1.331819937,213.934623,4.011050734,0.150757576,15.63934426,160.8196721,260.06,11.37,3.57,19.17,-1.35,38.61333333,19.62,"1,395",275.190458,912.8145919,0.021353646,0.021353065,FALSE,FALSE,FALSE,FALSE
-945064.9387,1776353.493,"53,662",38.5258,-106.9675,12.66412259,-7.032814781,244.1398033,3.35978229,0.196452573,61.03278689,243.9344262,261.37,3.99,-5.16,13.14,-5.87,23.83,13.39,"2,431",408.096974,1105.427852,0.085936886,0.085759,FALSE,FALSE,FALSE,FALSE
-967121.2173,1693831.13,"53,951",37.7717,-107.1097,11.27370734,-8.725100213,368.3041639,6.424171289,0.161699392,63.90163934,286.1311475,487.11,2.19,-6.46,10.84,-7.63,20.22333333,10.88,"2,835",713.233524,1018.630351,0.039650694,0.039150833,FALSE,FALSE,FALSE,FALSE
-872611.1596,1615949.2,"55,322",37.1742,-105.9392,15.27157648,-3.867849228,177.4377377,3.845444347,0.120308379,25.31147541,196.4262295,211.1,5.79,-3.52,15.11,-3.85,24.11,14.14,"2,341",209.5903098,868.7292427,-0.025723479,-0.025503333,FALSE,FALSE,FALSE,FALSE
-668087.3506,1694275.3,"57,167",38.0392,-103.6933,21.61830926,2.299353503,295.0563934,5.801621871,0.13875288,12.62295082,161.6229508,313.55,11.85,2.75,20.95,0.94,34.31666667,20.48,"1,268",283.280358,841.8726222,-0.02782752,-0.028196667,FALSE,FALSE,FALSE,FALSE
-907700.5186,1993427.552,"57,936",40.4883,-106.8233,13.16100872,-4.902576311,596.5627213,5.009453641,0.317721257,59.54098361,236.4098361,639.92,4.74,-3.38,12.85,-4.57,24.21333333,13.03,"2,280",1230.846408,743.543852,0.021376288,0.021291429,FALSE,FALSE,FALSE,FALSE
